gene	scaffold	start	end	
TYR	scaffold_37	6870555	6912540	
TYRP1	scaffold_16	7090322	7100944	
PRKCA	scaffold_78	1924032	2078808	
CACNG1	scaffold_78	2182215	2192187	
RASGRF1	scaffold_13	4583682	4595673	
CACNG4	scaffold_78	2166061	2178201	
CACNG5	scaffold_78	2087503	2101982	
SLC45A2	scaffold_21	3102663	3124724	
RAB38	scaffold_37	6494702	6517932	
EDNRB2	scaffold_75	1519758	1539915	
MC1R	scaffold_45	6471294	6472630	
HPGDS	scaffold_9	12029327	12059871
NDP	scaffold_2	41428482	41448165	
RSG9	scaffold_78	1554085	1580887	
SLC24A2	scaffold_16	9989052	10103365
SLC24A3	scaffold_43	72576	170656	
SLC24A4	scaffold_0	37307203	37394480
